vel, aj, b_max, ejection, s_coll, p_coll, stay, s_cap, b_cap,trans
0.1,0.1,5234.587709135946,0.10466024472793543,0.035407445977609996,0.07055454308773756,0.7625618328560271,0.0,0.0018224420723769851,0.0015620932048945586
0.1,0.5,5270.267425332871,0.2578170082711749,0.04257410929919426,0.098997627647524,0.5839406698155549,0.0,0.005236273483083631,0.0030349013657056147
0.1,1.0,5460.518139839637,0.3016487390671647,0.041961084357231795,0.10289241940081312,0.523335883703137,3.750543828855184e-05,0.0068034865055433035,0.003705537302908922
0.1,1.5,5503.908449770654,0.3234063520786343,0.03912598388405354,0.14081701137121472,0.4432182619074926,8.495491018142122e-06,0.007153203437275666,0.004723493006087019
0.1,2.0,5701.931955618352,0.3945732268959165,0.03984549760954428,0.11942683889644283,0.375043861572876,3.837887626650292e-05,0.008531075924382648,0.006173516382297469
0.1,2.5,5727.944713389356,0.5275974645115523,0.04030351108704109,0.09737297767336135,0.2475590965606145,4.00460720524184e-05,0.009302130451033189,0.013129390765757176
3.4,0.1,154.59898726740195,0.09819462791721709,0.030823425803610745,0.056142668428005284,0.7859973579920739,0.0,0.0033025099075297227,0.001321003963011889
3.4,0.5,157.6999678470476,0.23596716074148372,0.035829711356291094,0.09248114714513912,0.6196181136000595,0.0,0.005070767859132954,0.0023217801552806567
3.4,1.0,161.7089100785445,0.27976630864606983,0.035021812893843915,0.09897441130698778,0.556790060463811,6.378039135648136e-06,0.0062313442355282295,0.0036291042681837896
3.4,1.5,165.67401087031706,0.30482711040787097,0.03238820856236549,0.12694692953183703,0.47854534274208665,2.624652233579051e-05,0.007127805565762537,0.004615638427908303
3.4,2.0,169.35026029014418,0.37492888038881006,0.03267503421738723,0.11916562129406845,0.3999652684950976,2.2849674277893168e-05,0.008077359857235235,0.006178551924742313
3.4,2.5,173.16331720695436,0.5162503215868253,0.03301358414708782,0.09099668745595658,0.26750750635583403,1.757741653523553e-05,0.009031596205195565,0.014983948622809414
6.7,0.1,84.69806706382184,0.0633289124668435,0.01873342175066313,0.04409814323607427,0.8519562334217506,0.0,0.0023209549071618036,0.0004973474801061008
6.7,0.5,86.73938135902954,0.18359808444781872,0.023199789756467908,0.0759796764585645,0.6977457221281318,0.0,0.0038982654908602463,0.002365239736027565
6.7,1.0,89.17427101858163,0.23313152274650442,0.022358665430954588,0.09172140065277834,0.6214439698593706,1.0073739775154128e-05,0.0056916629729620825,0.0032890760365878228
6.7,1.5,91.57394630379498,0.27530404080031384,0.022159785844506497,0.09787286825283271,0.5451416933976415,2.3077100593081485e-05,0.006504857729674843,0.0048808067754367345
6.7,2.0,94.05189178634373,0.3318790760085416,0.02085076758815721,0.11428334391412247,0.4508696687251111,2.5249610434581865e-05,0.007381903964910255,0.006941839325907543
6.7,2.5,96.41327968908975,0.48417383283389787,0.021286200939003797,0.08373434586965221,0.3098248884810979,1.5861550625189117e-05,0.008240685609425178,0.0179516149498775
10.1,0.1,63.02715609686955,0.041991679667186685,0.013650546021840874,0.02535101404056162,0.9021060842433697,0.0,0.0009100364014560582,0.0010400416016640667
10.1,0.5,64.80423313376814,0.12341107109995343,0.011802660426440686,0.04288262089491202,0.805966080130863,2.271926934829776e-05,0.003385171132896366,0.0020560938760209473
10.1,1.0,66.85089042802743,0.1786147403143393,0.011811978526615355,0.08543674406571374,0.6955282646659336,8.084858676670332e-06,0.0048590000646788695,0.0029105491236013194
10.1,1.5,68.96745260713016,0.22115614451694765,0.01179734743981253,0.09068387085244269,0.6158791715719892,4.467846029090145e-06,0.006049463523388057,0.004749320328922824
10.1,2.0,71.02744133118964,0.28191847492987854,0.011107722871522986,0.10698014256772873,0.5088780263940509,1.2076893581432984e-05,0.006562282049811147,0.007696000434768169
10.1,2.5,73.06832717250182,0.439831,0.011311,0.077361,0.358861,1.7e-05,0.00725,0.021982
13.4,0.1,53.4008265000054,0.02077562326869806,0.004900916258256978,0.01129341572554869,0.9528020455998295,0.0,0.0014915832090347326,0.0007457916045173663
13.4,0.5,55.01124076690292,0.02865884328400543,0.0015411030137545809,0.00377428419074128,0.9574995934513522,3.7818478865143085e-06,0.002722930478290302,0.0021045983488452128
13.4,1.0,56.947553218120596,0.053396,0.001561,0.004819,0.917853,6e-06,0.004909,0.005097
13.4,1.5,58.882695180230634,0.080044,0.001524,0.032991,0.791845,1.5e-05,0.006796,0.010223
13.4,2.0,60.82879013759553,0.110791,0.00144,0.049564,0.703851,2.3e-05,0.008874,0.020754
13.4,2.5,62.72038648446924,0.149455,0.001439,0.03936,0.621693,1.3e-05,0.009766,0.048842
16.7,0.1,48.25381295635916,0.003571815131507739,0.0008658945773352095,0.0010282498105855613,0.9926218566222895,1.8039470361150197e-05,0.00028863152577840315,0.00025255258505610276
16.7,0.5,49.781090635581535,0.017963848801944453,0.0008443350395937259,0.002352963088279574,0.9730635393159024,2.172921057777971e-05,0.0019121705308446145,0.001446544589892192
16.7,1.0,51.665151157492105,0.034625,0.000804,0.002929,0.945255,8.8e-05,0.003356,0.003847
16.7,1.5,53.56974309537832,0.053229,0.000801,0.009601,0.853643,0.000125,0.004814,0.008261
16.7,2.0,55.44692220020398,0.077732,0.000784,0.036889,0.75733,0.000166,0.00593,0.017553
16.7,2.5,57.31613168113772,0.109872,0.000725,0.034196,0.6669,0.00018,0.006799,0.044476
20.0,0.1,45.12653481710354,0.0021590004287376737,0.00042873767379187846,0.0007656029889140687,0.9952685735285111,0.0,0.00022968089667422062,3.0624119556562746e-05
20.0,0.5,46.67096682382096,0.012139027497611211,0.0005268606009130481,0.001489011572353753,0.9816925894468628,0.0001260749548784372,0.001312506635523941,0.001085571716742754
20.0,1.0,48.5241170033212,0.025282,0.000454,0.001987,0.958942,0.00024,0.002469,0.003303
20.0,1.5,50.40995906168965,0.03889,0.000466,0.003817,0.894001,0.000389,0.003415,0.007225
20.0,2.0,52.27884017076531,0.058677,0.000438,0.031587,0.781148,0.000527,0.004053,0.01499
20.0,2.5,54.14045939110732,0.088118,0.000457,0.028637,0.696926,0.000611,0.004561,0.04091
23.4,0.1,43.18444363231768,0.0015984781431232413,0.00026421126332615557,0.00043594858448815673,0.9965124113240947,3.9631689498923336e-05,7.926337899784667e-05,7.926337899784667e-05
23.4,0.5,44.699912218582455,0.00868948313411057,0.00034896135051497713,0.0010480357391703934,0.9867014629887906,0.0002165172735868505,0.0008672207819728639,0.0009374737271260441
23.4,1.0,46.557452247549264,0.01872,0.000345,0.001477,0.968234,0.000492,0.001591,0.002857
23.4,1.5,48.399412796617945,0.029601,0.000288,0.002228,0.910666,0.000633,0.00211,0.006335
23.4,2.0,50.26783737219449,0.046416,0.00031,0.024936,0.798322,0.000861,0.002315,0.013551
23.4,2.5,52.10424515973571,0.072987,0.000313,0.023718,0.721083,0.000997,0.002763,0.03642
26.7,0.1,41.88131220879617,0.0010920454941505862,0.00034852515770763387,0.0003369076524507127,0.9973279737909081,1.161750525692113e-05,6.970503154152677e-05,2.323501051384226e-05
26.7,0.5,43.37366161573697,0.006711450208377252,0.00024425543645710025,0.0006932394960027244,0.989787893038416,0.00029493083821168533,0.0005219566380722266,0.0007641850584591435
26.7,1.0,45.20715318424632,0.014968,0.000236,0.000962,0.974211,0.000575,0.00101,0.002481
26.7,1.5,47.07342708090078,0.024321,0.000261,0.001554,0.924647,0.000703,0.001268,0.005513
26.7,2.0,48.92067277263342,0.038347,0.000251,0.016146,0.80528,0.000934,0.001484,0.011936
26.7,2.5,50.75912620393112,0.061641,0.000244,0.01997,0.741517,0.001019,0.001489,0.033427
30.0,0.1,40.936625491795496,0.0009568581769771602,0.00023921454424429006,0.00031201897075342183,0.9976598577193493,0.0,0.00010400632358447393,7.280442650913175e-05
30.0,0.5,42.42070354683856,0.005448,0.0002,0.000552,0.991524,0.000304,0.000397,0.000718
30.0,1.0,44.27053850873437,0.012254,0.000193,0.000739,0.978318,0.000536,0.000668,0.002254
30.0,1.5,46.10533053957996,0.020335,0.000219,0.001125,0.928722,0.000661,0.000836,0.004915
30.0,2.0,47.92641581167886,0.031508,0.000196,0.00807,0.828916,0.000818,0.000916,0.011025
30.0,2.5,49.80279099213315,0.052575,0.000196,0.017436,0.754158,0.000896,0.000883,0.031047
